game,hidden_data_per_state,max_states_per_hour,accounts_investigated,session_hours,notes
Baldur's Gate 3,495,11,5,1,Values transcribed from Table III
Cyberpunk 2077,62.7,15,5,1,Values transcribed from Table III
Divinity: Original Sin,92.81,1,2,1,Values transcribed from Table III
Divinity: Original Sin 2,69.61,3,3,1,Values transcribed from Table III
Dragon Age: Origins,70.4,6,3,1,Values transcribed from Table III
Loop Hero,25.14,1,3,1,Values transcribed from Table III
The Witcher 3,15.68,7,2,1,Values transcribed from Table III
Watch Dogs: Legion,62.7,2,3,1,Values transcribed from Table III
Yakuza: Like a Dragon,15.68,1,3,1,Values transcribed from Table III
